#NAME(1),a(au),Period(day),Excentricity(1),Mass(Mjup),Mstar(Msun),Rstar(Rsun),Teff(K),Rplanet(Rjup)
KOI_256.01,0.019,1.3786789,0,1,0.506,0.493,3789,2.1411402674498996
KOI_2666.01,0.31,64.0464,0,0.021619793887072344,0.965,0.86,5752,0.2319568623070725
KOI_2668.01,0.015,0.6793614,0,0.008477834754398823,0.927,0.82,5609,0.11865485648784863
KOI_2672.01,0.369,88.51658,0,0.09769096474864088,0.854,1.04,5565,0.4728351423951862
KOI_2672.02,0.228,42.99066,0,0.0391524451175911,0.854,1.04,5565,0.3122496223364437
KOI_270.02,0.201,33.67312,0,0.016285734078303266,0.948,1.46,5552,0.1900261987361786
KOI_2820.01,0.041,3.009121,0,0.007058564351880744,1.007,0.9,5900,0.11240986404111974
KOI_2821.01,0.363,79.2459,0,0.07296712593626367,1.02,0.98,5426,0.41038521792789745
KOI_2822.01,0.053,4.445911,0,0.012820257934779422,1.02,0.76,5673,0.15166410227770125
KOI_2827.01,0.067,7.063161,0,0.010065691368859842,0.796,0.86,5318,0.12489984893457748
KOI_2828.01,0.286,59.49786,0,0.05756796159953969,0.88,1.04,4652,0.3657781290226912
KOI_2829.01,0.098,10.613405,0,0.015125076465614909,1.1,1.28,6194,0.17842835562082499
KOI_2052.01,0.053,4.224636,0,0.05756796159953969,1.13,1.05,6282,0.3657781290226912
KOI_2055.01,0.082,8.678902,0,0.016099658218354126,0.964,0.86,5747,0.18824191517997035
KOI_2056.01,0.231,39.31435,0,0.021084244102596923,1.057,0.96,6069,0.22838829519465598
KOI_2057.01,0.053,5.945678,0,0.004699563696015829,0.553,0.528,4079,0.099919879147662
KOI_2058.01,0.021,1.523732,0,0.0045543089489026335,0.546,0.522,4048,0.09902773736955787
KOI_2059.01,0.058,6.147313,0,0.0016210456185567009,0.687,0.667,4790,0.07404776758264237
KOI_2060.01,0.034,2.800131,0,0.015040363709570273,0.686,0.666,4781,0.17753621384272086
KOI_2062.01,0.211,34.35173,0,0.020312190424289847,1.058,0.97,6074,0.22303544452603125
KOI_221.01,0.042,3.4130351,0,0.07965316849429974,0.865,0.76,5379,0.42822805348997994
KOI_2063.01,0.04,3.007257,0,0.011943752897771038,0.954,0.85,5708,0.1400662591623476
KOI_2064.01,0.07,6.312192,0,0.016099658218354126,1.14,1.07,6318,0.18824191517997035
KOI_2066.01,0.556,147.9724,0,0.0391524451175911,1.048,0.95,6034,0.3122496223364437
KOI_2067.01,0.118,13.24514,0,0.025710234064933855,1.24,2.35,5570,0.25604469031588384
KOI_2069.01,0.366,77.2557,0,0.04273499070527703,1.091,1.132,6096,0.3238474654517973
KOI_2071.01,0.047,3.856874,0,0.015125076465614909,0.909,1.55,5413,0.17842835562082499
KOI_2072.01,0.027,1.543198,0,0.0033774626661531937,1.076,0.98,6125,0.09099846136662075
KOI_2372.01,0.062,5.349325,0,0.006144573547926738,1.1,1.04,6218,0.10794915515059911
KOI_2373.01,0.538,147.2796,0,0.01696010811674252,0.96,0.99,5841,0.1962711911829075
KOI_2376.01,0.136,18.82735,0,0.02303518150964036,0.95,0.93,5019,0.24087828008811374
KOI_2377.01,0.104,13.90309,0,0.012140985226052094,0.78,0.81,5231,0.14274268449666
KOI_2378.01,0.053,4.767029,0,0.011749177082366715,0.882,0.95,5625,0.13738983382803524
KOI_2379.01,0.238,40.00728,0,0.020312190424289847,1.12,1.09,6271,0.22303544452603125
KOI_2380.01,0.068,6.357152,0,0.054712894274439684,1.02,0.92,5956,0.35685671124164997
KOI_2383.01,0.053,4.370381,0,0.008477834754398823,1.04,0.94,6002,0.11865485648784863
KOI_2386.01,0.126,16.26932,0,0.014625868718771575,1,0.89,5870,0.17307550495220023
KOI_2387.01,0.032,2.032324,0,0.012274051096458335,1.07,0.97,6111,0.14452696805286824
KOI_242.01,0.07,7.2584656,0,0.09024864080109458,0.877,0.86,5545,0.45499230683310365
KOI_257.01,0.075,6.883403,0,0.02175635692200997,1.178,1.164,6145,0.2328490040851766
KOI_2674.01,0.666,197.51034,0,0.16936376670431344,1.01,1.24,5973,0.6512634980160111
KOI_2674.02,0.098,11.17268,0,0.009364181658773018,1.01,1.24,5973,0.12222342360026513
KOI_2674.03,0.037,2.53574,0,0.0033774626661531937,1.01,1.24,5973,0.09099846136662075
KOI_2675.01,0.06,5.4483247,0,0.016570274015107838,0.951,0.84,5706,0.192702624070491
KOI_2675.02,0.021,1.1161319,0,0.0024278187365781505,0.951,0.84,5706,0.08296918536368363
KOI_2677.01,0.788,237.7882,0,0.12214935798377184,1.152,1.2,6409,0.5798921557676812
KOI_2678.01,0.046,3.8330915,0,0.06350254422557718,0.911,1.59,5371,0.3836209645847737
KOI_2679.01,0.481,110.75576,0,1,1.211,1.167,6516,1.2579199071268161
KOI_2680.01,0.112,14.407937,0,0.10748570155606889,0.892,0.79,5477,0.5531279024245574
KOI_1781.01,0.072,7.8344508,0,0.04663262165981885,0.825,0.759,4977,0.33544530856715093
KOI_1781.02,0.038,3.0051569,0,0.017672411887566086,0.825,0.759,4977,0.20251618362963636
