#NAME(1),a(au),Period(day),Excentricity(1),Mass(Mjup),Mstar(Msun),Rstar(Rsun),Teff(K),Rplanet(Rjup)
Kepler-107_d,0.0780099,7.958203,,0.00371234,,1.411,5851,0.095459
WASP-14_b,0.0367693,2.243752,0.091,7.69234,1.31,1.31,6475,1.281
Kepler-50_b,0.0825598,7.8125124,,0.0164915,1.23,1.88,6058,0.196096
NN_Ser_d,3.70596,2605,0.05,0.642621,,,,
Kepler-20_b,0.0453704,3.6961219,0,0.0266646,0.912,0.944,5466,0.170247
HAT-P-27_b,0.0399488,3.039577,0,0.617485,0.92,0.87,5190,1.02
Kepler-181_b,0.0419466,3.137873,,0.00674351,,0.749,5333,0.113302
HD_116029_b,1.64869,670,0,1.9075,1.33,5.04235,4811,
Kepler-207_b,0.0269045,1.611865,,0.0117295,,1.588,5920,0.140066
HD_219828_b,0.0515012,3.8334999,0,0.0622185,1.24,1.4682,5891,
Kepler-11_c,0.106909,13.0241,0.0256125,0.00912437,0.961,1.065,5663,0.255816
HD_1237_b,0.494668,133.71001,0.511,3.3748,0.9,0.858011,5536,
WASP-21_b,0.0521087,4.322482,0,0.300272,1.01,1.06,5800,1.07
Kepler-284_c,0.219317,37.514456,,0.0210192,,0.814,5615,0.232849
Kepler-186_c,0.0574114,7.267302,0.03,0.00636705,0.478,0.472,3788,0.111418
HD_4308_b,0.119192,15.56,0,0.0477376,0.933,0.82259,5695,
Kepler-239_b,0.101225,11.763051,,0.0177874,,0.763,4914,0.207869
Kepler-174_b,0.113583,13.98179,,0.014454,,0.622,4880,0.174859
Kepler-224_d,0.0988375,11.349393,,0.0174811,,0.676,5018,0.205192
Kepler-389_c,0.116434,14.51143,,0.0107805,,0.792,5376,0.130252
Kepler-254_c,0.104915,12.412183,,0.0160511,,0.91,5957,0.19181
Kepler-236_c,0.162691,23.968127,,0.0147725,,0.51,3750,0.178428
WASP-25_b,0.0473714,3.764825,0,0.57847,1,0.92,5750,1.22
Kepler-186_d,0.0860831,13.342996,0.03,0.00934866,0.478,0.472,3788,0.12479
HD_24040_b,4.92406,3668,0.04,4.02189,1.18,1.15444,5852.73,
Kepler-359_c,0.292189,57.68802,,0.0607789,,1.086,6248,0.38362
Kepler-211_c,0.0649112,6.04045,,0.00711292,,0.816,5123,0.115086
Kepler-294_c,0.0690438,6.6264,,0.0223552,,0.976,5913,0.24177
Kepler-263_c,0.256083,47.332773,,0.019315,,0.785,5265,0.220359
Kepler-349_b,0.0641159,5.929778,,0.0139923,,0.927,5956,0.169507
HD_200964_b,1.64347,613.8,0.04,1.94873,1.57,3.80029,5082,
HD_147018_b,0.238855,44.236,0.4686,2.12711,0.927,1.05268,5441,
HD_218566_b,0.687282,225.7,0.3,0.212872,0.85,0.590728,4820,
HD_45364_b,0.68156,226.93,0.1684,0.187149,0.82,1.02464,5434,
Kepler-361_b,0.081426,8.486616,,0.010538,,1.343,6169,0.12936
Kepler-318_c,0.101523,11.815007,,0.0419521,,1.189,5746,0.328308
Kepler-372_b,0.0705863,6.849692,,0.00850717,,1.137,6509,0.121331
Kepler-197_e,0.168262,25.209715,,0.00208313,,1.12,6004,0.0811848
HD_141937_b,1.50087,653.21997,0.41,9.4752,1.048,1.06384,5846.82,
Kepler-405_c,0.187804,29.726682,,0.071727,,0.893,5818,0.415737
Kepler-104_d,0.271796,51.755394,,0.0392746,,1.349,5711,0.319386
Kepler-26_d,0.0454914,3.543919,,0.00371234,,0.571,4486,0.095459
Kepler-159_b,0.0916828,10.139623,,0.0183139,,0.663,4625,0.212329
HD_156668_b,0.0499846,4.6455,0,0.0130582,0.772,0.728691,4850,
MOA-2009-BLG-387L_b,1.76808,1970,,2.6,0.19,,,
Kepler-32_f,0.0130732,0.74296,0,0.00143611,0.54,0.53,3793,0.0730903
WASP-103_b,0.0198682,0.925542,0,1.48791,1.22,1.436,6110,1.528
Kepler-221_e,0.136253,18.369917,,0.0212781,,0.821,5243,0.234633
Kepler-256_c,0.0441473,3.38802,,0.0160511,,1.301,5551,0.19181
GJ_649_b,1.13179,598.3,0.3,0.325341,0.54,,3700,
Kepler-276_b,0.114376,14.12841,,0.0247188,,1.046,6105,0.256044
Kepler-264_c,0.52792,140.101261,,0.0241007,,1.55,6158,0.252476
HD_132406_b,1.98227,974,0.34,5.60495,1.09,,5885,
Kepler-143_b,0.124306,16.007583,,0.0186399,,1.359,5848,0.215006
Kepler-189_c,0.144846,20.134866,,0.0183139,,0.75,5235,0.212329
HD_38529_c,3.6002,2146.0503,0.355094,12.2603,1.34,2.02418,5674,
Kepler-62_b,0.0552794,5.714932,0.0707107,0,0.69,0.64,4925,0.116766
Kepler-281_b,0.117153,14.646008,,0.0239491,,0.899,5723,0.251584
Kepler-196_c,0.256426,47.427737,,0.0168894,,0.782,5128,0.199839
Kepler-238_c,0.0657332,6.155557,,0.0184218,,1.43,5751,0.213222
Kepler-49_c,0.07889,10.9129343,,0.0202381,0.55,0.53,3974,0.227293
Kepler-55_c,0.202122,42.1516418,,0.016585,0.62,0.58,4362,0.196987
WASP-19_b,0.0163152,0.78884,0.0046,1.13339,0.93,0.99,5500,1.386
Kepler-310_d,0.401368,92.876125,,0.019315,,0.876,5797,0.220359
Kepler-204_c,0.170262,25.660593,,0.0131908,,1.238,5812,0.159693
Kepler-26_b,0.0902469,12.282356,0,0.0397121,0.65,0.59,3933,0.320884
Kepler-374_c,0.0432285,3.282807,,0.00409374,,0.911,5977,0.0981354
Kepler-395_b,0.0719854,7.054346,,0.00324127,,0.556,4262,0.0918904
HD_126614_A_b,2.36847,1244,0.41,0.385706,1.145,1.10978,5585,
Kepler-80_e,0.0544864,4.645387,,0.0121773,,0.637,4613,0.146311
Kepler-83_d,0.0585134,5.169796,,0.014298,,0.594,4648,0.173075
Kepler-167_b,0.0524957,4.393147,,0.010538,,0.696,4796,0.12936
Kepler-295_d,0.204929,33.884054,,0.00850717,,0.898,5603,0.121331
Kepler-337_b,0.043316,3.292781,,0.0115417,,1.761,5684,0.13739
HD_177830_b,1.13872,410.1,0.096,1.31967,1.17,3.99397,4752,
Kepler-226_d,0.0789926,8.109044,,0.00587447,,0.802,5571,0.108841
HD_38283_b,1.02382,363.2,0.41,0.338157,1.085,1.50465,5998,
Kepler-386_b,0.104341,12.31043,,0.00915403,,0.767,5178,0.124008
HD_217786_b,2.3791,1319,0.4,13.1868,1.02,1.15058,5966,
Kepler-363_c,0.0752686,7.542427,,0.0125062,,1.485,5593,0.150772
Kepler-24_d,0.0513038,4.244384,,0.0123736,,1.289,5897,0.148987
HD_32518_b,0.595162,157.54,0.01,3.34549,1.13,24.3641,4580,
Kepler-402_c,0.0655142,6.124821,,0.0116666,,1.264,6090,0.139174
WASP-18_b,0.0201401,0.9414529,0.00848,10.2006,1.22,1.216,6400,1.267
CoRoT-6_b,0.0854177,8.886593,0,2.95364,1.05,1.025,6090,1.166
Kepler-127_c,0.186396,29.393195,,0.0216742,,1.359,6106,0.237309
Kepler-203_c,0.0600193,5.370647,,0.019315,,1.114,5821,0.220359
HD_73267_b,2.19849,1260,0.256,3.06257,0.89,1.16642,5317,
HD_147513_b,1.30958,528.40002,0.26,1.17965,1.072,0.850084,5929.74,
HD_72659_b,4.75375,3658,0.22,3.1741,1.068,1.34287,5919.51,
BD_+14_4559_b,0.775866,268.94,0.29,1.51929,0.86,0.725686,4814,
Kepler-79_b,0.114456,13.485,,0.10946,1.1,1.1,6187,0.230858
Kepler-202_b,0.0498841,4.069427,,0.0121124,,0.667,4668,0.145419
HD_197037_b,2.07477,1035.7,0.22,0.807324,1.11,1.09866,6150,
HD_70642_b,3.18072,2068,0.034,1.90944,1.002,1.03139,5705.54,
KELT-2_A_b,0.0549707,4.1137912,0,1.52064,1.308,1.828,6151,1.286
Kepler-10_b,0.0167573,0.837495,0,0.0142824,0.895,1.056,5627,0.126327
Kepler-208_e,0.125606,16.259458,,0.0112762,,1.314,6092,0.132037
Kepler-270_c,0.168498,25.262887,,0.0130508,,1.461,6067,0.157909
Kepler-225_c,0.138343,18.794234,,0.0135483,,0.48,3682,0.164154
Kepler-150_d,0.105752,12.56093,,0.0235009,,0.939,5560,0.248907
Kepler-405_b,0.0945195,10.613839,,0.015437,,0.893,5818,0.185565
Kepler-208_b,0.0511769,4.22864,,0.0121124,,1.314,6092,0.145419
M_67_YBP_1194_b,0.0715732,6.958,0.24,0.346328,1.01,1.01765,5780,
Kepler-325_d,0.223972,38.715185,,0.0235009,,1.003,5752,0.248907
Kepler-340_c,0.157474,22.824669,,0.0341953,,1.85,6620,0.300651
HD_40307_c,0.0800702,9.62,0,0.0211468,0.74,0.839223,4977,
HD_142_b,1.04292,350.3,0.26,1.3057,1.232,1.5121,6248.6,
Kepler-257_b,0.0349126,2.382667,,0.0210192,,1.037,5180,0.232849
WASP-10_b,0.0384536,3.0927616,0.0507142,3.19144,0.79,0.698,4675,1.08
GJ_328_b,4.43476,4100,0.37,2.3,0.69,,3900,
WASP-17_b,0.0499354,3.735433,0,0.508547,1.19,1.2,6550,1.932
HAT-P-17_b,0.0882385,10.338523,0.346,0.530158,0.857,0.837,5246,1.01
Kepler-162_b,0.0710671,6.919798,,0.00656354,,0.958,5816,0.11241
Kepler-293_c,0.280136,54.155743,,0.0463015,,0.957,5804,0.34169
HD_102329_b,1.80892,778.1,0.211,4.47808,1.3,7.27206,4745,
HD_159868_b,2.29553,1178.4,0.01,2.20004,1.16,1.84825,5558,
Kepler-262_c,0.152976,21.853722,,0.0121773,,0.881,5841,0.146311
WASP-75_b,0.0375112,2.484193,0,1.07,1.14,1.26,6100,1.27
Kepler-222_b,0.0487958,3.936981,,0.0297967,,0.869,5433,0.281916
Kepler-334_b,0.0607596,5.470319,,0.00436179,,1.068,5828,0.0999197
HD_114783_b,1.15987,493.7,0.144,1.10505,0.853,0.837785,5135.09,
GJ_581_e,0.028459,3.14945,0.32,0.00613456,0.31,0.299,3498,
Kepler-327_c,0.0588339,5.212333,,0.00324127,,0.492,3799,0.0918904
epsilon_Ret_b,1.19471,428.1,0.06,1.37669,1.24,3.51559,4781,
GJ_674_b,0.0386657,4.6938,0.2,0.034879,0.35,,3600,
Kepler-57_c,0.0942979,11.6092567,,0.0115953,0.83,0.73,5145,0.138158
HD_168443_c,2.85281,1749.83,0.2113,17.3857,0.995,1.58859,5491,
Kepler-172_c,0.0673847,6.388996,,0.0245625,,1.085,5526,0.255152
Kepler-400_c,0.131115,17.340824,,0.0115291,,1.145,5886,0.132929
Kepler-220_e,0.250899,45.902733,,0.00789025,,0.666,4632,0.118655
WASP-57_b,0.0386362,2.838971,0,0.675887,0.954,0.836,5600,0.916
HAT-P-37_b,0.0379273,2.79736,0.058,1.17362,0.929,0.877,5500,1.178
Kepler-198_c,0.264081,49.567416,,0.019315,,0.94,5574,0.220359
Kepler-249_b,0.0434366,3.306539,,0.00396389,,0.482,3568,0.0972433
HD_81040_b,1.9372,1001.7,0.526,6.87654,0.96,0.918818,5700,
HD_208527_b,2.099,875.5,0.08,10.014,1.6,41.0489,4035,
Kepler-165_b,0.0794582,8.180848,,0.0176845,,0.77,5211,0.206977
Kepler-28_b,0.0581375,5.91213,0,0.0397121,0.75,0.7,4590,0.320884
Kepler-118_c,0.145024,20.17202,,0.184717,,1.094,5274,0.685164
HAT-P-32_b,0.0342627,2.150008,0,0.861516,1.16,1.219,6207,1.789
GJ_163_c,0.125354,25.63058,0.099,0.0215524,0.4,,,
HD_95089_b,1.38575,507,0.157,1.12925,1.38,4.34001,4950,
XO-3_b,0.0477112,3.1915426,0.2884,13.2849,1.41,2.07898,6429,1.217
HD_114729_b,2.10235,1114,0.167,0.944758,0.998,1.46377,5820.94,
Kepler-122_e,0.221179,37.993273,,0.0208911,,1.216,6050,0.231956
Kepler-103_c,0.64119,179.612,0,0.0877632,1.09,1.44,5845,0.458519
HD_100655_b,0.682908,157.57,0.085,1.33352,1.71,9.3,4801,
Kepler-400_b,0.0848304,9.024389,,0.0122424,,1.145,5886,0.147203
Kepler-106_c,0.111348,13.5708,0,0.019662,1,1.04,5858,0.223015
Kepler-113_b,0.0502736,4.754,0,0.013404,0.75,0.69,4725,0.16237
HD_142415_b,1.06061,386.29999,0.5,1.66194,1.065,1.11902,5901.98,
CoRoT-9_b,0.406991,95.2738,0.11,0.843564,0.99,0.94,5625,1.05
HD_114386_b,1.72685,937.70001,0.23,1.3637,0.78,0.637212,4819.64,
HD_103197_b,0.249018,47.84,0,0.0982431,0.9,1.01561,5303,
7_CMa_b,1.80264,763,0.14,2.43233,1.34,2.3,4761,
Kepler-368_b,0.175473,26.84768,,0.0318107,,2.019,5502,0.290838
Kepler-335_b,0.0685981,6.562331,,0.0346488,,1.854,5877,0.302436
WASP-16_b,0.0417858,3.1186009,0,0.842294,1,0.946,5700,1.008
Kepler-316_b,0.0335097,2.240508,,0.00359062,,0.52,4204,0.0945669
HD_152581_b,1.48938,689,0,1.51375,0.927,3.809,5155,
KIC_11442793_h,0.996347,331.60059,,0.937417,1.2,1.2,6080,1.01
Kepler-103_b,0.127704,15.9654,0,0.0305195,1.09,1.44,5845,0.300624
Kepler-338_b,0.112199,13.726976,,0.0189734,,1.735,5923,0.217682
Kepler-129_b,0.123186,15.79186,,0.0182069,,1.641,5770,0.211437
PH-1_b,0.629412,138.506,0.0539,0.100437,1.734,1.759,6407,0.550851
Kepler-306_d,0.131044,17.326644,,0.019315,,0.719,4954,0.220359
Kepler-37_d,0.212021,39.792187,0.102489,0.00577478,0.803,0.77,5417,0.178
HD_13908_c,2.03386,931,0.12,5.13,1.29,1.67,6255,
HD_125595_b,0.0809437,9.6737,0,0.0416764,0.756,1.03336,4908,
WASP-79_b,0.0534741,3.6623817,0,0.887514,1.52,1.64,6600,1.7
Kepler-107_b,0.0423212,3.179997,,0.0116666,,1.411,5851,0.139174
Kepler-109_c,0.151991,21.2227,0,0.0199023,1.04,1.32,5952,0.224819
HIP_57274_c,0.177758,32.03,0.05,0.410096,0.73,0.68,4640,
Kepler-30_d,0.534239,143.343,0.022,0.0726872,0.99,0.95,5498,0.784384
Kepler-158_c,0.18282,28.551383,,0.0139923,,0.624,4623,0.169507
HD_93083_b,0.476549,143.58,0.14,0.368176,0.7,1.14863,4995,
HD_31253_b,1.26054,466,0.3,0.501427,1.23,1.64612,5960,
Kepler-357_c,0.128672,16.85837,,0.0218083,,0.834,5036,0.238201
HD_89744_b,0.902604,256.78,0.673,8.18778,1.48,2.02329,6234,
HD_183263_c,4.29488,3066,0.23873,3.47646,1.121,1.11717,5936.41,
WASP-42_b,0.0547344,4.9816877,0,0.496968,0.881,0.85,5200,1.063
Kepler-53_d,0.0893308,9.751962,,0.0157841,,0.958,6085,0.189134
Kepler-48_b,0.0532027,4.778,0,0.0123966,0.88,0.89,5194,0.17133
HD_192310_c,1.18358,525.8,0.32,0.0736073,0.8,0.847025,5166,
HD_1690_b,1.36191,533,0.64,6.52644,1.18,21.1524,4364,
HAT-P-41_b,0.0425775,2.694047,0,0.800254,1.418,1.683,6390,1.685
Kepler-42_c,0.00585017,0.45328509,,0.000954523,0.13,0.17,3068,0.0650682
HD_28185_b,1.02341,379,0.05,5.79721,0.99,1.00685,5656,
HD_23127_b,2.31864,1214,0.44,1.40487,1.127,1.51172,5752,
HD_154672_b,0.598618,163.94,0.61,5.00638,1.06,1.31501,5714,
Kepler-275_d,0.212092,35.676062,,0.0333072,,1.383,6165,0.297083
Kepler-52_b,0.0630945,7.8773565,,0.015593,0.54,0.52,4075,0.187182
OGLE-TR-10_b,0.0434856,3.10129,0,0.62,1.14,1.17,5950,1.25
Kepler-370_b,0.0539702,4.57953,,0.011856,,0.9,5852,0.14185
gamma_Leo_A_b,1.29554,428.5,0.144,10.3722,1.57,27.4346,4428,
NN_Ser_c,6.15467,5571,0.22,2.24099,,,,
HAT-P-2_b,0.0679088,5.6334729,0.5171,8.87066,1.308,1.506,6290,1.157
HAT-P-24_b,0.0465021,3.35524,0.067,0.685857,1.191,1.317,6373,1.242
HD_11506_b,2.60488,1405,0.3,4.7347,1.19,1.26275,6058,
tau_Boo_b,0.0480039,3.312433,0.023,5.95,1.341,1.41847,6387.49,
Kepler-124_c,0.112713,13.821375,,0.0129124,,0.636,4984,0.156125
Kepler-184_c,0.145651,20.303005,,0.0145328,,0.873,5788,0.175752
HD_34445_b,2.06642,1049,0.27,0.790506,1.069,1.39357,5836,
Kepler-318_b,0.0546218,4.662715,,0.0733215,,1.189,5746,0.420198
OGLE-2007-BLG-368L_b,,,,0.0629,0.64,,,
HD_125612_b,1.3728,559.40487,0.45899,3.06805,1.1,1.0426,5897,
Kepler-20_f,0.137859,19.57706,0,0.00323095,0.912,0.944,5466,0.0918085
Kepler-198_b,0.13337,17.790037,,0.0239491,,0.94,5574,0.251584
42_Dra_b,1.16693,479.1,0.38,3.73203,0.92,22.04,4200,
Kepler-216_b,0.0762713,7.693641,,0.0179955,,1.26,6091,0.209653
Kepler-292_d,0.0719945,7.055679,,0.0167934,,0.826,5299,0.198947
Kepler-53_b,0.136705,18.6489525,,0.0249941,0.98,0.89,5858,0.257599
Kepler-11_b,0.0914497,10.3039,0.045,0.00597804,0.961,1.065,5663,0.1604
HD_153950_b,1.28031,499.4,0.34,2.74209,1.12,1.15135,6076,
Kepler-69_b,0.104565,13.722341,0.16,0.0168702,0.81,0.93,5638,0.199661
Kepler-27_c,0.168484,31.3309,0,0.0793989,0.65,0.59,5400,0.436759
HD_16141_b,0.355656,75.523,0.252,0.249652,1.052,2.05,5793.95,
Kepler-221_c,0.0623799,5.690586,,0.0256819,,0.821,5243,0.261397
Kepler-7_b,0.0622369,4.885525,0,0.437758,1.347,1.843,5933,1.478
HIP_91258_b,0.0566534,5.0505,0.024,1.068,0.95,1,5519,
WASP-24_b,0.0365155,2.3412127,0,1.091,1.184,1.331,6075,1.3
HAT-P-29_b,0.0666842,5.723186,0.095,0.779004,1.207,1.224,6087,1.107
Kepler-38_b,0.429659,105.595,0,0.0621296,0.949,1.757,5623,0.387735
HD_204313_d,3.94498,2831.6,0.28,1.60642,1.02,,5767,
PSR_B1257+12_B,0.321369,66.5419,0.0186,0.0135305,,,,
Kepler-147_b,0.10603,12.610584,,0.0125754,,1.468,6012,0.136497
HD_50554_b,2.26097,1224,0.444,4.39876,1.025,1.25271,5928.79,
HD_11964_c,0.226601,37.910254,0.301733,0.0770689,1.08,1.76025,5372,
Kepler-79_d,0.272969,52.09059,,0.178374,,1.403,6189,0.677134
Kepler-344_c,0.490824,125.596809,,0.0260126,,0.976,5774,0.263181
HD_13189_b,1.25186,471.6,0.27,7.12332,1.17,32.3233,4337,
HD_60532_b,0.759258,201.3,0.28,1.0348,1.44,2.35065,6095,
HAT-P-11_b,0.0525443,4.8878162,0.198,0.0825354,0.81,0.75,4780,0.422
Kepler-406_b,0.0361437,2.42629,0,0.0199895,1.07,1.07,5538,0.127576
Kepler-171_b,0.0506781,4.166972,,0.0178911,,0.839,5642,0.208761
Kepler-330_b,0.0799685,8.25978,,0.00829825,,0.722,5117,0.120439
HD_104067_b,0.264333,55.806,0,0.185935,0.791,0.858425,4969,
Kepler-229_b,0.0664249,6.252972,,0.0165098,,0.728,5120,0.196271
Kepler-144_c,0.0914719,10.104665,,0.00829825,,1.235,6075,0.120439
HD_20794_b,0.120738,18.315,0,0.00848679,0.7,1.22683,5401,
Kepler-94_b,0.033677,2.50806,0,0.0341063,0.81,0.76,4781,0.313113
Kepler-115_c,0.0846204,8.990889,,0.0208911,,1.205,5979,0.231956
Kepler-320_c,0.134093,17.934937,,0.00871939,,1.108,6435,0.122223
HD_195019_b,0.136688,18.20132,0.0138,3.57989,1.025,1.34728,5788.16,
Kepler-274_c,0.202153,33.197861,,0.0135483,,1.007,6023,0.164154
GJ_832_b,3.4032,3416,0.12,0.644279,0.45,,,
Kepler-26_e,0.254259,46.827915,,0.0186399,,0.571,4486,0.215006
GJ_667_C_b,0.0504235,7.199,0.09,0.0171709,0.33,,3350,
Kepler-254_d,0.138108,18.746477,,0.0196646,,0.91,5957,0.223035
CoRoT-19_b,0.0516604,3.89713,0.047,1.10792,1.21,1.65,6090,1.29
Kepler-264_b,0.231966,40.806231,,0.0333072,,1.55,6158,0.297083
Kepler-122_c,0.105218,12.465988,,0.115399,,1.216,6050,0.523686
Kepler-142_b,0.0313162,2.024152,,0.014692,,1.269,5790,0.177536
alpha_Ari_b,1.1296,380,0.25,1.71662,1.33,13.7883,4513,
Kepler-240_c,0.0779794,7.953528,,0.0165098,,0.739,4985,0.196271
61_Vir_b,0.05006,4.215,0.12,0.016075,0.942,0.978547,5571,
Kepler-298_b,0.0936962,10.475464,,0.014454,,0.582,4465,0.174859
HD_210702_b,1.17218,354.29,0.036,1.86459,1.71,5.17,5000,
Kepler-363_d,0.102192,11.932125,,0.0151834,,1.485,5593,0.182889
HAT-P-4_b,0.0443853,3.056536,0,0.671507,1.248,1.596,5860,1.274
HAT-P-21_b,0.0494951,4.124481,0.228,4.07833,0.947,1.105,5588,1.024
Kepler-215_d,0.192566,30.864423,,0.0184218,,1.027,5739,0.213222
Kepler-232_c,0.0990113,11.379349,,0.0463015,,0.968,5847,0.34169
Kepler-346_b,0.0682408,6.511127,,0.0216742,,1.021,6033,0.237309
Kepler-330_c,0.124035,15.955387,,0.0143757,,0.722,5117,0.173967
alpha_Cen_B_b,0.0418506,3.2357,0,0.00354639,0.934,0.91,5214,
mu_Ara_b,1.5273,643.25,0.128,1.74552,1.147,1.25035,5784.28,
WASP-45_b,0.0405459,3.1260876,0,1.00657,0.909,0.945,5140,1.16
HD_73526_c,1.02831,377.8,0.14,2.4209,1.014,1.45542,5583.74,
Kepler-382_c,0.103505,12.162701,,0.011856,,0.945,5600,0.14185
Kepler-333_c,0.163234,24.08821,,0.00422638,,0.534,4259,0.0990276
Kepler-17_b,0.0267923,1.4857108,0,2.47943,1.16,1.05,5781,1.33
14_Her_b,2.93362,1773.4,0.369,5.21486,1.066,0.912364,5387.61,
HAT-P-33_b,0.0499317,3.474474,0,0.763256,1.375,1.637,6446,1.686
Kepler-166_c,0.206443,34.260281,,0.0183139,,0.742,5413,0.212329
OGLE-05-169L_b,3.41991,3300,,0.04,0.49,,,
HIP_79431_b,0.358346,111.7,0.29,2.11299,0.49,,3191,
HD_171238_b,2.54268,1523,0.4,2.60901,0.943,1.05059,5467,
Kepler-272_c,0.0650321,6.057342,,0.0131908,,0.929,5297,0.159693
Kepler-157_c,0.111181,13.5405,,0.0168894,,1.044,5774,0.199839
HIP_5158_b,0.887919,345.72,0.52,1.42633,0.78,0.986271,4962,
Kepler-308_c,0.121047,15.38231,,0.0161415,,0.941,5895,0.192702
WASP-46_b,0.0244921,1.43037,0,2.10232,0.956,0.917,5620,1.31
Kepler-157_b,0.028229,1.732342,,0.00769114,,1.044,5774,0.117763
GJ_849_b,2.35317,1882,0.04,0.830886,0.49,,,
Kepler-52_d,0.215129,36.445171,,0.0143757,,0.556,4263,0.173967
Kepler-197_c,0.0929448,10.349695,,0.00604207,,1.12,6004,0.109733
Kepler-163_b,0.0770446,7.810937,,0.00347154,,0.917,5776,0.0936747
Kepler-121_c,0.23273,41.008011,,0.0171819,,0.701,5311,0.202516
Kepler-191_b,0.0904732,9.939632,,0.00809262,,0.789,5282,0.119547
Kepler-123_b,0.130568,17.232366,,0.0258466,,1.264,6089,0.262289
Kepler-320_b,0.0806883,8.371554,,0.00464108,,1.108,6435,0.101704
HAT-P-1_b,0.0553326,4.4652934,0,0.532369,1.133,1.135,5975,1.242
Kepler-186_f,0.392576,129.9459,0.01,0.00421308,0.478,0.472,3788,0.098939
Kepler-201_b,0.170313,25.672083,,0.0192003,,1.229,6065,0.219467
OGLE2-TR-L9_b,0.0413279,2.4855335,0,4.57442,1.52,1.53,6933,1.61
Kepler-54_b,0.0626016,8.0109434,,0.015593,0.51,0.5,3705,0.187182
Kepler-355_c,0.170712,25.762294,,0.0223552,,1.066,6184,0.24177
Kepler-375_c,0.144132,19.986326,,0.0215411,,0.837,5826,0.236417
Kepler-137_b,0.0811044,8.436387,,0.0110268,,0.802,5187,0.131145
Kepler-85_d,0.133985,17.91323,,0.00554835,,0.893,5436,0.107057
Kepler-224_c,0.0640814,5.925003,,0.0290307,,0.676,5018,0.278348
WASP-22_b,0.0468682,3.53269,0.023,0.559059,1.1,1.13,6000,1.12
WASP-2_b,0.0312729,2.1522254,0,0.908659,0.88,0.84,5200,1.077
Kepler-392_b,0.0598046,5.341853,,0.00291583,,1.129,5938,0.089214
Kepler-247_c,0.087412,9.439452,,0.0548224,,0.768,5100,0.364885
HD_164922_b,2.10091,1155,0.05,0.357927,0.927,0.899472,5385.36,
Kepler-271_b,0.0588746,5.217738,,0.00192504,,0.88,5524,0.0794005
Kepler-30_c,0.300013,60.3231,0.0111,2.01385,0.99,0.95,5498,1.09635
Kepler-190_c,0.0473476,3.763024,,0.0107805,,0.795,5106,0.130252
tau_Gru_b,2.51797,1311,0.07,1.2147,1.238,1.54911,5999.24,
WASP-34_b,0.0520747,4.3176782,0.038,0.583354,1.01,0.93,5700,1.22
Kepler-397_c,0.516293,135.498527,,0.100676,,0.767,5307,0.551343
HD_96063_b,1.11312,361.1,0,1.14167,1.41,3.66196,5131,
HAT-P-22_b,0.0414094,3.21222,0.016,2.15137,0.916,1.04,5302,1.08
Kepler-221_b,0.0388408,2.795906,,0.0126401,,0.821,5243,0.152556
CoRoT-7_b,0.0171897,0.853585,0,0.0157999,0.93,0.87,5275,0.1498
HD_5608_b,1.98519,792.6,0.19,1.47372,1.66,5.5,4911,
Kepler-172_e,0.209877,35.118736,,0.0230631,,1.085,5526,0.246231
Kepler-178_b,0.0882572,9.576694,,0.025195,,1.066,5676,0.258721
Kepler-147_c,0.203039,33.416423,,0.0188614,,1.468,6012,0.21679
HATS-1_b,0.0444708,3.446459,0.12,1.86507,0.986,1.038,5870,1.302
Kepler-378_c,0.184331,28.906009,,0.00082692,,0.671,4661,0.0624498
HD_80606_b,0.447343,111.4367,0.934,3.89054,0.958,0.98,5572.51,1.029
Kepler-158_b,0.127912,16.709184,,0.0157841,,0.624,4623,0.189134
Kepler-45_b,0.0298817,2.455239,0.11,0.511499,0.59,0.55,3820,0.96
Kepler-68_b,0.0617749,5.398763,0,0.026183,1.079,1.243,5793,0.205901
Kepler-308_b,0.0889821,9.694928,,0.0157841,,0.941,5895,0.189134
WASP-78_b,0.0361391,2.17517656,0,0.883997,1.33,2.2,6100,1.7
Kepler-108_c,0.647542,190.323494,,0.224011,,2.192,5854,0.729771
HD_86264_b,2.84117,1475,0.7,6.62738,1.4,1.49917,6326,
Kepler-266_c,0.443078,107.723601,,0.0481581,,1.028,5885,0.347043
Kepler-239_c,0.287238,56.228098,,0.019783,,0.763,4914,0.223927
HD_82943_c,0.742283,219.3,0.425,1.58936,1.133,1.09738,5997.1,
Kepler-205_c,0.145668,20.306546,,0.0121773,,0.546,4321,0.146311
Kepler-319_b,0.0522529,4.362705,,0.0121124,,0.903,5526,0.145419
Kepler-162_c,0.141525,19.446355,,0.0273861,,0.958,5816,0.270319
Kepler-126_c,0.153051,21.869741,,0.0117926,,1.358,6239,0.140958
Kepler-384_c,0.248874,45.348269,,0.00450004,,0.882,5577,0.100812
iota_Hor_b,0.92376,302.8,0.14,2.04683,1.145,1.21047,6097.36,
HD_37124_d,2.80658,1862,0.16,0.68665,0.85,0.772275,5500.24,
HD_192263_b,0.152945,24.3556,0.055,0.639382,0.804,0.7401,4975.16,
HD_204313_b,3.07131,1920.1,0.23,3.50088,1.045,1.12584,5767,
Kepler-212_c,0.196459,31.805174,,0.0227766,,1.455,5852,0.244446
Kepler-53_c,0.221868,38.5583038,,0.0299365,0.98,0.89,5858,0.282556
